id	type	title	status	path	parent	children	tags	updated
00000000-spec	specification	Produktspezifikation (Platzhalter)	draft	docs/product/specification.md				2025-11-07
00000000-vision	vision	Produkvision (Platzhalter)	draft	docs/product/vision.md				2025-11-07
